PWM Percentage ,Voltage ,,PWM  percentage, Encoder Value ,Speed  M/S,,,Without Load 60 percent PWM,,,Without Load 60 PWM,,,Without Load 60 PWM,,,Withload 60 PWM,,,With Load 60 PWM ,,,With Load PWM 60,,,Withload 30 PWM ,,,Withload 30 PWM ,,,Withload 30 PWM ,,,Withload 30 PWM ,,,Withload 30 PWM 
2,0,,100,1515,0.924,,,20:30:02.356 -> 0,,,20:35:03.579 -> 0,,,20:37:00.357 -> 0,,,20:46:16.624 -> 0,,,20:55:13.855 -> 0,,,20:56:12.073 -> 0,,,20:59:06.644 -> 0,,,21:00:13.064 -> 0,,,21:01:06.173 -> 0,,,21:02:46.511 -> 0,,,21:03:56.779 -> 0
4,0.16,,99,1511,0.922,,,20:30:02.356 -> 1,,,20:35:03.623 -> 1,,,20:37:00.357 -> 1,,,20:46:16.624 -> 1,,,20:55:13.903 -> 3,,,20:56:12.117 -> 2,,,20:59:06.644 -> 1,,,21:00:13.113 -> 2,,,21:01:06.173 -> 0,,,21:02:46.559 -> 1,,,21:03:56.779 -> 0
5,0.17,,98,1509,0.921,,,20:30:02.356 -> 4,,,20:35:03.623 -> 4,,,20:37:00.357 -> 3,,,20:46:16.624 -> 3,,,20:55:13.903 -> 6,,,20:56:12.117 -> 6,,,20:59:06.644 -> 3,,,21:00:13.113 -> 4,,,21:01:06.173 -> 1,,,21:02:46.559 -> 2,,,21:03:56.779 -> 1
6,0.35,,97,1495,0.912,,,20:30:02.356 -> 7,,,20:35:03.623 -> 7,,,20:37:00.405 -> 7,,,20:46:16.624 -> 6,,,20:55:13.903 -> 10,,,20:56:12.117 -> 10,,,20:59:06.644 -> 6,,,21:00:13.113 -> 6,,,21:01:06.173 -> 3,,,21:02:46.559 -> 4,,,21:03:56.779 -> 3
8,0.51,,96,1476,0.9,,,20:30:02.356 -> 12,,,20:35:03.623 -> 12,,,20:37:00.405 -> 12,,,20:46:16.668 -> 10,,,20:55:13.903 -> 14,,,20:56:12.117 -> 14,,,20:59:06.692 -> 8,,,21:00:13.113 -> 9,,,21:01:06.173 -> 5,,,21:02:46.559 -> 6,,,21:03:56.823 -> 4
10,0.68,,95,1473,0.899,,,20:30:02.356 -> 18,,,20:35:03.671 -> 18,,,20:37:00.405 -> 18,,,20:46:16.668 -> 14,,,20:55:13.903 -> 19,,,20:56:12.117 -> 19,,,20:59:06.692 -> 11,,,21:00:13.113 -> 11,,,21:01:06.217 -> 7,,,21:02:46.559 -> 8,,,21:03:56.823 -> 7
12,0.83,,94,1469,0.896,,,20:30:02.356 -> 25,,,20:35:03.671 -> 25,,,20:37:00.405 -> 24,,,20:46:16.668 -> 19,,,20:55:13.951 -> 25,,,20:56:12.165 -> 25,,,20:59:06.692 -> 13,,,21:00:13.161 -> 14,,,21:01:06.217 -> 9,,,21:02:46.607 -> 10,,,21:03:56.823 -> 9
14,0.98,,93,1465,0.894,,,20:30:02.356 -> 32,,,20:35:03.671 -> 32,,,20:37:00.405 -> 32,,,20:46:16.668 -> 25,,,20:55:13.951 -> 31,,,20:56:12.165 -> 31,,,20:59:06.692 -> 16,,,21:00:13.161 -> 17,,,21:01:06.217 -> 12,,,21:02:46.607 -> 13,,,21:03:56.823 -> 11
16,1.13,,92,1460,0.891,,,20:30:02.356 -> 40,,,20:35:03.671 -> 40,,,20:37:00.440 -> 40,,,20:46:16.668 -> 31,,,20:55:13.951 -> 37,,,20:56:12.165 -> 37,,,20:59:06.736 -> 19,,,21:00:13.161 -> 20,,,21:01:06.217 -> 15,,,21:02:46.607 -> 16,,,21:03:56.863 -> 14
18,1.26,,91,1454,0.887,,,20:30:02.356 -> 48,,,20:35:03.671 -> 48,,,20:37:00.440 -> 48,,,20:46:16.716 -> 37,,,20:55:13.951 -> 43,,,20:56:12.165 -> 44,,,20:59:06.736 -> 22,,,21:00:13.161 -> 23,,,21:01:06.217 -> 18,,,21:02:46.607 -> 19,,,21:03:56.863 -> 17
20,1.4,,90,1449,0.884,,,20:30:02.356 -> 57,,,20:35:03.715 -> 57,,,20:37:00.440 -> 57,,,20:46:16.716 -> 44,,,20:55:13.951 -> 50,,,20:56:12.165 -> 50,,,20:59:06.736 -> 25,,,21:00:13.209 -> 27,,,21:01:06.261 -> 21,,,21:02:46.607 -> 22,,,21:03:56.863 -> 20
22,1.55,,89,1433,0.874,,,20:30:02.356 -> 66,,,20:35:03.715 -> 66,,,20:37:00.488 -> 66,,,20:46:16.716 -> 51,,,20:55:13.999 -> 57,,,20:56:12.213 -> 57,,,20:59:06.736 -> 29,,,21:00:13.209 -> 30,,,21:01:06.261 -> 24,,,21:02:46.651 -> 25,,,21:03:56.863 -> 23
24,1.67,,88,1423,0.868,,,20:30:02.356 -> 77,,,20:35:03.715 -> 75,,,20:37:00.488 -> 75,,,20:46:16.716 -> 58,,,20:55:13.999 -> 64,,,20:56:12.213 -> 65,,,20:59:06.736 -> 32,,,21:00:13.209 -> 34,,,21:01:06.261 -> 28,,,21:02:46.651 -> 29,,,21:03:56.907 -> 27
26,1.74,,87,1415,0.863,,,20:30:02.356 -> 86,,,20:35:03.715 -> 85,,,20:37:00.488 -> 85,,,20:46:16.716 -> 65,,,20:55:13.999 -> 72,,,20:56:12.213 -> 72,,,20:59:06.784 -> 36,,,21:00:13.209 -> 38,,,21:01:06.261 -> 32,,,21:02:46.651 -> 33,,,21:03:56.907 -> 30
28,1.9,,86,1409,0.86,,,20:30:02.356 -> 95,,,20:35:03.715 -> 95,,,20:37:00.488 -> 95,,,20:46:16.760 -> 73,,,20:55:13.999 -> 80,,,20:56:12.213 -> 80,,,20:59:06.784 -> 39,,,21:00:13.209 -> 42,,,21:01:06.309 -> 35,,,21:02:46.651 -> 36,,,21:03:56.907 -> 34
30,2.03,,85,1409,0.86,,,20:30:02.356 -> 107,,,20:35:03.763 -> 104,,,20:37:00.488 -> 105,,,20:46:16.760 -> 81,,,20:55:13.999 -> 88,,,20:56:12.213 -> 88,,,20:59:06.784 -> 43,,,21:00:13.257 -> 46,,,21:01:06.309 -> 39,,,21:02:46.651 -> 40,,,21:03:56.907 -> 38
32,2.14,,84,1399,0.853,,,20:30:02.356 -> 117,,,20:35:03.763 -> 115,,,20:37:00.536 -> 115,,,20:46:16.760 -> 89,,,20:55:14.047 -> 96,,,20:56:12.257 -> 96,,,20:59:06.784 -> 48,,,21:00:13.257 -> 50,,,21:01:06.309 -> 43,,,21:02:46.691 -> 45,,,21:03:56.907 -> 42
34,2.24,,83,1380,0.842,,,20:30:02.356 -> 127,,,20:35:03.763 -> 125,,,20:37:00.536 -> 125,,,20:46:16.760 -> 97,,,20:55:14.047 -> 104,,,20:56:12.257 -> 104,,,20:59:06.784 -> 52,,,21:00:13.257 -> 55,,,21:01:06.309 -> 48,,,21:02:46.691 -> 49,,,21:03:56.952 -> 46
36,2.36,,82,1372,0.837,,,20:30:02.356 -> 137,,,20:35:03.763 -> 135,,,20:37:00.536 -> 135,,,20:46:16.804 -> 106,,,20:55:14.047 -> 113,,,20:56:12.257 -> 113,,,20:59:06.832 -> 56,,,21:00:13.257 -> 59,,,21:01:06.309 -> 52,,,21:02:46.691 -> 53,,,21:03:56.952 -> 50
38,2.48,,81,1342,0.819,,,20:30:02.356 -> 147,,,20:35:03.763 -> 145,,,20:37:00.536 -> 146,,,20:46:16.804 -> 115,,,20:55:14.047 -> 121,,,20:56:12.257 -> 122,,,20:59:06.832 -> 60,,,21:00:13.257 -> 64,,,21:01:06.354 -> 56,,,21:02:46.691 -> 57,,,21:03:56.952 -> 55
40,2.58,,80,1322,0.806,,,20:30:02.356 -> 160,,,20:35:03.807 -> 156,,,20:37:00.536 -> 156,,,20:46:16.804 -> 124,,,20:55:14.091 -> 130,,,20:56:12.305 -> 130,,,20:59:06.832 -> 64,,,21:00:13.305 -> 68,,,21:01:06.354 -> 60,,,21:02:46.735 -> 62,,,21:03:56.952 -> 59
